Date,GBP - EUR,EUR - GBP,GBP - AUD,AUD - GBP,GBP - JPY,JPY - GBP
18/12/2020,1.104055,0.905752,1.773384,0.563894,139.58543,0.007164
19/12/2020,1.103202,0.906452,1.773443,0.563875,139.71244,0.007158
20/12/2020,1.103202,0.906452,1.773443,0.563875,139.71244,0.007158
21/12/2020,1.09123,0.916397,1.761989,0.567541,138.083955,0.007242
22/12/2020,1.0953,0.912992,1.770881,0.564691,138.151187,0.007238
23/12/2020,1.107692,0.902778,1.780846,0.561531,139.853159,0.00715
24/12/2020,1.11219,0.899127,1.782856,0.560898,140.465753,0.007119
25/12/2020,1.109873,0.901004,1.781836,0.561219,140.189972,0.007133
26/12/2020,1.089348,0.917981,1.760784,0.567929,138.493349,0.007221
27/12/2020,1.089348,0.917981,1.760784,0.567929,138.493349,0.007221
28/12/2020,1.100597,0.908598,1.776958,0.56276,139.626269,0.007162
29/12/2020,1.102658,0.9069,1.772358,0.56422,139.839935,0.007151
30/12/2020,1.106978,0.90336,1.770628,0.564771,140.496958,0.007118
31/12/2020,1.116789,0.895424,1.771635,0.56445,140.922711,0.007096
01/01/2021,1.123374,0.890176,1.782132,0.561126,141.166888,0.007084
02/01/2021,1.126741,0.887515,1.777285,0.562656,141.160051,0.007084
03/01/2021,1.126741,0.887515,1.777285,0.562656,141.160051,0.007084
04/01/2021,1.10611,0.904069,1.768781,0.565361,139.884887,0.007149
05/01/2021,1.107822,0.902672,1.757298,0.569055,139.892273,0.007148
06/01/2021,1.105848,0.904284,1.746064,0.572717,140.341816,0.007125
07/01/2021,1.104871,0.905083,1.747665,0.572192,140.704696,0.007107
08/01/2021,1.108275,0.902303,1.746495,0.572575,141.069573,0.007089
09/01/2021,1.109653,0.901183,1.748132,0.572039,141.010658,0.007092
10/01/2021,1.109653,0.901183,1.748132,0.572039,141.010658,0.007092
11/01/2021,1.110576,0.900434,1.752731,0.570538,140.779382,0.007103
12/01/2021,1.120703,0.892297,1.76447,0.566743,141.938715,0.007045
13/01/2021,1.121126,0.89196,1.761455,0.567712,141.650593,0.00706
14/01/2021,1.125695,0.88834,1.756929,0.569175,141.849853,0.00705
15/01/2021,1.124639,0.889174,1.762045,0.567522,141.179591,0.007083
16/01/2021,1.124922,0.88895,1.764053,0.566876,141.102982,0.007087
17/01/2021,1.124922,0.88895,1.764053,0.566876,141.102982,0.007087
18/01/2021,1.124216,0.889509,1.767117,0.565893,140.778261,0.007103
19/01/2021,1.123576,0.890016,1.768493,0.565453,141.483152,0.007068
20/01/2021,1.127216,0.887142,1.763098,0.567184,141.404848,0.007072
21/01/2021,1.130059,0.884909,1.769651,0.565083,142.092664,0.007038
22/01/2021,1.123409,0.890148,1.771216,0.564584,141.984252,0.007043
23/01/2021,1.123792,0.889845,1.772895,0.564049,141.967121,0.007044
24/01/2021,1.123792,0.889845,1.772895,0.564049,141.967121,0.007044
25/01/2021,1.125961,0.88813,1.775022,0.563373,141.779217,0.007053
26/01/2021,1.129083,0.885675,1.774023,0.563691,142.305343,0.007027
27/01/2021,1.13178,0.883564,1.782793,0.560918,142.53875,0.007016
28/01/2021,1.131625,0.883685,1.787721,0.559371,143.115925,0.006987
29/01/2021,1.130119,0.884863,1.790792,0.558412,143.535222,0.006967
30/01/2021,1.129763,0.885141,1.794125,0.557375,143.590442,0.006964
31/01/2021,1.129145,0.885626,1.793368,0.55761,143.484497,0.006969
01/02/2021,1.132819,0.882754,1.79325,0.557647,143.581693,0.006965
02/02/2021,1.134853,0.881171,1.799329,0.555763,143.392751,0.006974
03/02/2021,1.135585,0.880604,1.791393,0.558225,143.435723,0.006972
04/02/2021,1.141094,0.876352,1.798116,0.556138,144.039461,0.006943
05/02/2021,1.140319,0.876948,1.792568,0.557859,144.651227,0.006913
06/02/2021,1.140048,0.877156,1.789073,0.558949,144.721581,0.00691
07/02/2021,1.140048,0.877156,1.789073,0.558949,144.721581,0.00691
08/02/2021,1.140529,0.876786,1.783623,0.560657,144.505045,0.00692
09/02/2021,1.139739,0.877394,1.785746,0.55999,144.304583,0.00693
10/02/2021,1.141372,0.876138,1.790258,0.558579,144.938273,0.006899
11/02/2021,1.139434,0.877629,1.781703,0.561261,144.755786,0.006908
12/02/2021,1.142391,0.875357,1.784569,0.560359,145.386283,0.006878
13/02/2021,1.142032,0.875632,1.784718,0.560313,145.280094,0.006883
14/02/2021,1.142032,0.875632,1.784718,0.560313,145.280094,0.006883
15/02/2021,1.146793,0.871997,1.787221,0.559528,146.618974,0.00682
16/02/2021,1.148554,0.87066,1.792355,0.557925,147.185581,0.006794
17/02/2021,1.149859,0.869672,1.788732,0.559055,146.524168,0.006825
18/02/2021,1.155185,0.865662,1.800074,0.555533,147.472617,0.006781
19/02/2021,1.155232,0.865627,1.780486,0.561644,148.026662,0.006756
20/02/2021,1.15652,0.864663,1.780813,0.561541,148.062149,0.006754
21/02/2021,1.156644,0.86457,1.781004,0.561481,147.904209,0.006761
22/02/2021,1.158029,0.863536,1.777984,0.562435,147.82731,0.006765
23/02/2021,1.160221,0.861905,1.783907,0.560567,148.285511,0.006744
24/02/2021,1.161574,0.860901,1.777254,0.562666,149.339931,0.006696
25/02/2021,1.154273,0.866346,1.774939,0.5634,149.930524,0.00667
26/02/2021,1.153516,0.866915,1.807837,0.553147,148.860251,0.006718
27/02/2021,1.153486,0.866937,1.807221,0.553336,148.439785,0.006737
28/02/2021,1.153486,0.866937,1.807221,0.553336,148.439785,0.006737
01/03/2021,1.156697,0.864531,1.793125,0.557686,148.730211,0.006724
02/03/2021,1.155362,0.86553,1.784373,0.560421,148.939258,0.006714
03/03/2021,1.158079,0.863499,1.790659,0.558453,149.523876,0.006688
04/03/2021,1.162808,0.859987,1.793772,0.557484,150.657356,0.006638
05/03/2021,1.158633,0.863086,1.801147,0.555202,149.387034,0.006694
08/03/2021,1.165103,0.858293,1.803602,0.554446,150.366858,0.00665
09/03/2021,1.168029,0.856143,1.803517,0.554472,150.843962,0.006629
10/03/2021,1.167546,0.856497,1.800907,0.555276,150.864643,0.006628
11/03/2021,1.167241,0.856721,1.798078,0.556149,151.584833,0.006597
12/03/2021,1.164429,0.85879,1.79074,0.558428,151.519075,0.0066
14/03/2021,1.164913,0.858433,1.793008,0.557722,151.797935,0.006588
15/03/2021,1.164338,0.858857,1.794142,0.55737,151.552855,0.006598
16/03/2021,1.167962,0.856192,1.793263,0.557643,151.443794,0.006603
